Age,Gender,City_Type,Annual_Income,Education_Level,Occupation,Steps_Per_Day,Workout_Days_Per_Week,Preferred_Workout_Type,Workout_Duration_Min,Calories_Burned_Per_Day,Uses_Fitness_App,Features_Used,App_Usage_Frequency,Subscribed_Premium,Motivators_For_Upgrade,Willingness_To_Pay,Fitness_Importance_1_10,Biggest_Challenge,Fitness_Motivated_By,Preferred_Device,NPS_Recommend_1_10,Content_Engaged,Interested_In_Group_Challenges,Fitness_Goal
16,Male,Urban,91652,Postgraduate,Homemaker,6199,3,Yoga,54,603,No,None,Never,No,None,292,4,Lack of Time,Friends,Fitness Band,4,None,No,Weight Loss
25,Female,Semi-Urban,37464,Graduate,Professional,987,2,Yoga,28,400,Yes,"Step Tracker, Workout Plans, Progress Tracking, Diet Tracking",Daily,No,"Advanced Analytics, 1:1 Coach, Personalized Plans",522,6,Motivation,Self,Smartphone,6,Live Classes,No,Weight Loss
21,Female,Urban,59829,High School,Other,3579,4,Mixed,27,495,No,None,Never,No,None,358,2,Lack of Time,Self,Smartphone,3,None,No,Rehabilitation
32,Female,Urban,65955,Doctorate,Homemaker,4233,0,Cardio,71,491,Yes,"Challenges, Diet Tracking, Step Tracker",Daily,No,Custom Diet Plans,384,5,Cost,Self,Smartphone,6,Articles,Yes,Weight Loss
22,Male,Rural,89267,Graduate,Professional,7254,3,Strength Training,79,872,Yes,"Step Tracker, Challenges, Social Community, Diet Tracking",Weekly,Yes,"Custom Diet Plans, Personalized Plans",741,5,Motivation,Family,Smartwatch,7,Community Posts,Yes,Rehabilitation
18,Female,Metro,92426,Graduate,Other,7833,5,Yoga,135,1170,Yes,Step Tracker,Daily,Yes,1:1 Coach,866,9,Lack of Time,Self,Smartphone,6,Live Classes,Yes,Weight Loss
41,Female,Metro,45840,Graduate,Student,6859,5,Yoga,36,697,Yes,Diet Tracking,Daily,No,"Ad-free Experience, 1:1 Coach, Social Competitions",276,5,Guidance,Family,Manual Entry,8,Articles,No,Rehabilitation
28,Female,Metro,68940,Postgraduate,Professional,6043,1,Mixed,36,538,Yes,"Diet Tracking, Workout Plans, Step Tracker",Daily,No,"Personalized Plans, Ad-free Experience, Social Competitions",432,6,Other,Family,Smartphone,6,Live Classes,Yes,General Wellness
30,Male,Metro,83169,Graduate,Professional,6052,6,Cardio,12,570,Yes,"Social Community, Challenges",Monthly,Yes,"Personalized Plans, Custom Diet Plans",575,9,Cost,Self,Smartphone,7,Community Posts,No,Weight Loss
18,Male,Metro,137023,Graduate,Professional,8790,4,Yoga,94,933,Yes,"Diet Tracking, Step Tracker",Weekly,No,"Custom Diet Plans, Advanced Analytics",587,6,Guidance,Family,Smartphone,5,Articles,Yes,General Wellness
25,Male,Rural,94113,Graduate,Retired,7532,6,Strength Training,46,1111,Yes,"Progress Tracking, Diet Tracking, Challenges, Social Community",Daily,No,Advanced Analytics,253,5,Cost,Self,Fitness Band,4,Challenges,Yes,Weight Loss
30,Male,Urban,98177,Graduate,Student,6165,3,Strength Training,98,652,No,None,Never,No,None,244,4,Cost,Self,Smartphone,6,None,No,Muscle Gain
20,Female,Urban,69003,Postgraduate,Professional,10233,3,Strength Training,11,541,Yes,"Challenges, Social Community, Step Tracker, Workout Plans",Daily,Yes,"Advanced Analytics, 1:1 Coach",782,8,Health Issues,Self,Fitness Band,7,Community Posts,No,Muscle Gain
33,Male,Metro,133951,Graduate,Professional,11874,6,Yoga,31,930,Yes,"Progress Tracking, Step Tracker",Daily,No,"Social Competitions, Ad-free Experience",359,7,Lack of Time,Family,Smartwatch,8,Video Workouts,Yes,Muscle Gain
25,Other,Semi-Urban,81217,Graduate,Professional,3885,6,Mixed,30,752,Yes,"Workout Plans, Challenges, Diet Tracking",Monthly,No,Personalized Plans,389,6,Health Issues,Self,Fitness Band,7,Articles,No,General Wellness
27,Male,Rural,43021,Graduate,Professional,8306,3,Strength Training,57,645,Yes,"Progress Tracking, Challenges, Workout Plans, Step Tracker",Weekly,No,"Personalized Plans, Advanced Analytics, Ad-free Experience",377,5,Motivation,None,Smartphone,2,Video Workouts,Yes,General Wellness
25,Male,Semi-Urban,133477,Graduate,Professional,14724,2,Mixed,44,891,Yes,"Challenges, Step Tracker, Diet Tracking",Daily,Yes,"Custom Diet Plans, Advanced Analytics, Personalized Plans",536,9,Other,Self,Smartwatch,10,Articles,No,Weight Loss
44,Female,Metro,93802,Postgraduate,Homemaker,7700,2,Strength Training,49,721,Yes,"Challenges, Step Tracker, Workout Plans",Daily,No,"Personalized Plans, 1:1 Coach",543,7,Motivation,Self,Smartphone,8,Challenges,No,Rehabilitation
29,Female,Urban,53022,Graduate,Professional,7288,2,Cardio,22,528,No,None,Never,No,None,457,2,Other,Self,Smartphone,3,None,No,Rehabilitation
21,Male,Metro,52065,Other,Homemaker,6860,2,Cardio,45,533,No,None,Never,No,None,513,5,Other,Friends,Smartphone,3,None,No,Weight Loss
36,Female,Metro,76748,Graduate,Professional,8225,2,Cardio,56,711,Yes,"Step Tracker, Diet Tracking",Rarely,No,Advanced Analytics,286,6,Lack of Time,Self,Fitness Band,4,Articles,No,Weight Loss
20,Female,Metro,83415,Graduate,Professional,8887,6,Strength Training,35,829,Yes,"Social Community, Workout Plans, Diet Tracking",Monthly,No,"Advanced Analytics, Ad-free Experience, Custom Diet Plans",399,6,Other,Self,Smartphone,10,Live Classes,Yes,Muscle Gain
31,Male,Urban,73031,Postgraduate,Professional,3888,0,Strength Training,24,428,Yes,"Step Tracker, Diet Tracking",Daily,Yes,"Personalized Plans, Custom Diet Plans, Advanced Analytics",729,9,Lack of Time,Self,Smartphone,6,Video Workouts,Yes,General Wellness
15,Prefer not to say,Urban,77315,Graduate,Professional,6933,4,Sports,15,663,Yes,"Progress Tracking, Workout Plans, Challenges",Daily,Yes,"Personalized Plans, Ad-free Experience",869,7,Lack of Time,Self,Smartphone,7,Video Workouts,Yes,Weight Loss
19,Other,Metro,154813,Postgraduate,Professional,1326,1,Sports,63,400,Yes,"Workout Plans, Social Community, Step Tracker",Daily,No,"Ad-free Experience, 1:1 Coach, Personalized Plans",489,7,Motivation,Friends,Smartphone,5,Articles,Yes,Weight Loss
31,Female,Metro,113071,Other,Homemaker,6476,2,Cardio,46,580,Yes,Workout Plans,Daily,No,"Ad-free Experience, Advanced Analytics",373,5,Other,Family,Smartphone,7,Live Classes,Yes,General Wellness
35,Male,Urban,72788,High School,Professional,4743,0,Cardio,142,400,No,None,Never,No,None,167,2,Motivation,Influencers,Smartphone,5,None,No,General Wellness
31,Female,Metro,105942,High School,Other,7847,2,Cardio,70,720,Yes,Workout Plans,Daily,No,"Personalized Plans, 1:1 Coach, Advanced Analytics",563,4,Guidance,Family,Smartphone,10,Live Classes,Yes,Weight Loss
29,Male,Metro,39487,Postgraduate,Professional,2859,5,Yoga,10,400,Yes,"Step Tracker, Social Community",Daily,No,"Custom Diet Plans, Advanced Analytics, Ad-free Experience",416,6,Cost,Friends,Smartphone,6,Articles,No,Athletic Training
27,Male,Metro,80737,Graduate,Professional,5719,6,Cardio,11,486,Yes,"Diet Tracking, Social Community",Daily,No,"1:1 Coach, Ad-free Experience",276,4,Other,Family,Smartwatch,7,Community Posts,No,General Wellness
18,Male,Urban,163513,Graduate,Professional,9416,1,Cardio,57,761,Yes,"Challenges, Diet Tracking, Social Community, Step Tracker",Daily,No,"1:1 Coach, Personalized Plans, Advanced Analytics",398,8,Cost,Friends,Smartphone,7,Challenges,Yes,Muscle Gain
24,Male,Metro,59336,High School,Retired,5309,3,None,57,745,No,None,Never,No,None,168,5,Lack of Time,Self,Smartphone,2,None,No,General Wellness
26,Female,Metro,43311,High School,Professional,2237,3,Mixed,33,400,Yes,"Workout Plans, Progress Tracking",Daily,No,"Personalized Plans, Custom Diet Plans, Social Competitions",476,8,Motivation,Influencers,Smartphone,10,Articles,No,Weight Loss
38,Female,Metro,47760,Postgraduate,Homemaker,7643,6,Cardio,62,941,Yes,"Workout Plans, Progress Tracking",Daily,No,"Personalized Plans, Social Competitions, Advanced Analytics",173,6,Lack of Time,Family,Smartwatch,9,Live Classes,Yes,Muscle Gain
32,Female,Rural,38375,Graduate,Homemaker,5533,5,Strength Training,46,606,Yes,"Progress Tracking, Diet Tracking",Weekly,No,1:1 Coach,323,6,Guidance,Friends,Smartphone,7,Challenges,Yes,Weight Loss
15,Male,Urban,44695,Graduate,Professional,6535,3,Strength Training,39,553,Yes,"Diet Tracking, Challenges",Daily,No,"Advanced Analytics, Custom Diet Plans, Personalized Plans",379,4,Lack of Time,Friends,Smartphone,9,Articles,No,Weight Loss
32,Male,Urban,54981,Graduate,Student,5175,4,Mixed,69,754,Yes,"Challenges, Step Tracker, Diet Tracking",Daily,No,"Custom Diet Plans, Ad-free Experience, Social Competitions",474,7,Lack of Time,Influencers,Smartphone,9,Challenges,No,Weight Loss
26,Male,Metro,32768,Graduate,Professional,11935,5,Strength Training,5,784,Yes,"Step Tracker, Progress Tracking, Diet Tracking",Daily,No,Custom Diet Plans,362,6,Health Issues,Friends,None,7,Community Posts,Yes,Weight Loss
24,Other,Urban,66689,High School,Professional,3104,0,Cardio,90,400,Yes,"Workout Plans, Diet Tracking",Monthly,No,"1:1 Coach, Personalized Plans",426,6,Motivation,Self,Smartphone,7,Live Classes,No,General Wellness
34,Male,Metro,103895,Postgraduate,Homemaker,14083,2,Sports,112,861,Yes,"Workout Plans, Progress Tracking, Challenges",Weekly,Yes,"1:1 Coach, Ad-free Experience",695,10,Guidance,Family,Smartphone,10,Community Posts,Yes,General Wellness
38,Female,Urban,42029,High School,Professional,6023,6,Strength Training,11,403,Yes,"Challenges, Step Tracker, Diet Tracking, Progress Tracking",Daily,Yes,"Social Competitions, Personalized Plans, 1:1 Coach",695,7,Motivation,Self,Smartphone,6,Community Posts,No,Weight Loss
37,Female,Rural,141441,Postgraduate,Professional,7458,5,Cardio,57,917,Yes,Step Tracker,Rarely,No,"Custom Diet Plans, Social Competitions",360,5,Lack of Time,Self,Smartphone,10,Live Classes,Yes,Weight Loss
23,Male,Urban,85425,Postgraduate,Professional,5563,3,Strength Training,15,400,Yes,"Challenges, Workout Plans, Progress Tracking",Daily,No,"Personalized Plans, Ad-free Experience, Social Competitions",327,6,Motivation,Self,Smartphone,6,Community Posts,No,General Wellness
27,Female,Semi-Urban,110778,Graduate,Professional,5458,3,Strength Training,21,589,Yes,Diet Tracking,Rarely,No,"Advanced Analytics, Personalized Plans, Ad-free Experience",147,4,Motivation,Family,Smartwatch,9,Articles,Yes,Weight Loss
32,Male,Urban,47623,Graduate,Professional,5037,2,Strength Training,22,481,Yes,"Progress Tracking, Diet Tracking",Daily,Yes,"Ad-free Experience, Advanced Analytics, 1:1 Coach",584,7,Health Issues,Influencers,Smartphone,7,Articles,Yes,Weight Loss
37,Female,Metro,101444,Graduate,Professional,8503,3,Cardio,46,829,No,None,Never,No,None,379,4,Motivation,Family,Fitness Band,4,None,No,Muscle Gain
26,Female,Rural,38331,Graduate,Professional,3473,4,Strength Training,42,488,Yes,Workout Plans,Daily,No,"Social Competitions, Advanced Analytics",320,5,Motivation,Influencers,Smartphone,6,Challenges,Yes,General Wellness
28,Male,Metro,103272,Postgraduate,Professional,7910,3,Cardio,30,407,Yes,"Challenges, Step Tracker, Workout Plans, Progress Tracking",Daily,Yes,Custom Diet Plans,676,9,Cost,Family,Smartphone,7,Articles,Yes,General Wellness
21,Male,Urban,72107,Postgraduate,Homemaker,1538,4,Sports,7,400,Yes,"Diet Tracking, Progress Tracking",Daily,No,"1:1 Coach, Ad-free Experience",311,3,Cost,Self,Smartphone,6,Articles,No,General Wellness
20,Female,Metro,87258,Graduate,Professional,7683,6,Cardio,25,803,Yes,"Challenges, Workout Plans, Step Tracker",Daily,No,Personalized Plans,246,7,Cost,Family,Smartphone,9,Challenges,No,Weight Loss
36,Female,Metro,36761,Graduate,Professional,9122,1,Cardio,90,760,Yes,"Diet Tracking, Step Tracker, Progress Tracking, Social Community",Weekly,No,"Ad-free Experience, Advanced Analytics, Custom Diet Plans",290,7,Other,Influencers,Fitness Band,2,Video Workouts,No,General Wellness
40,Male,Metro,42296,Postgraduate,Professional,3813,3,Yoga,57,460,No,None,Never,No,None,313,3,Cost,Influencers,Smartphone,2,None,No,Weight Loss
29,Female,Metro,89198,Doctorate,Professional,8696,2,Sports,17,590,No,None,Never,No,None,350,2,Motivation,None,Fitness Band,3,None,No,Weight Loss
38,Female,Urban,41184,Graduate,Professional,7128,4,Mixed,39,604,Yes,"Workout Plans, Step Tracker, Progress Tracking",Monthly,No,"Personalized Plans, Ad-free Experience, Custom Diet Plans",397,2,Health Issues,Self,Smartwatch,5,Live Classes,Yes,Muscle Gain
32,Female,Urban,83416,Graduate,Retired,10996,2,Strength Training,30,634,Yes,"Diet Tracking, Step Tracker, Progress Tracking",Daily,No,"Advanced Analytics, Ad-free Experience",328,4,Guidance,Family,Smartphone,9,Articles,No,General Wellness
24,Male,Metro,33404,Graduate,Professional,4861,4,Cardio,94,915,No,None,Never,No,None,226,5,Motivation,Family,Smartwatch,5,None,No,Weight Loss
32,Female,Metro,101122,Doctorate,Professional,14039,6,Sports,30,878,Yes,"Social Community, Workout Plans, Step Tracker, Challenges",Daily,Yes,"1:1 Coach, Custom Diet Plans",490,7,Motivation,Family,Smartphone,8,Challenges,Yes,Weight Loss
42,Female,Urban,35729,Graduate,Professional,1023,3,Yoga,13,400,No,None,Never,No,None,661,5,Lack of Time,Self,Smartphone,3,None,No,General Wellness
29,Male,Metro,87216,Graduate,Student,6176,6,Cardio,29,526,Yes,"Challenges, Progress Tracking",Daily,No,"1:1 Coach, Social Competitions, Personalized Plans",214,5,Lack of Time,Self,Fitness Band,9,Community Posts,Yes,Athletic Training
42,Male,Urban,90473,Graduate,Professional,2753,7,Mixed,95,922,Yes,Diet Tracking,Daily,No,Advanced Analytics,287,7,Lack of Time,Self,Smartphone,4,Community Posts,No,General Wellness
15,Other,Urban,46705,Graduate,Professional,11627,1,Cardio,73,775,Yes,"Diet Tracking, Workout Plans, Progress Tracking",Daily,No,Advanced Analytics,412,4,Lack of Time,Family,Smartphone,10,Articles,Yes,Muscle Gain
36,Male,Semi-Urban,88522,Graduate,Professional,6345,1,None,38,597,Yes,"Diet Tracking, Social Community, Step Tracker",Daily,No,Custom Diet Plans,393,4,Health Issues,Self,Smartwatch,5,Live Classes,No,Athletic Training
30,Female,Urban,75374,Other,Professional,6570,7,Mixed,16,561,Yes,"Workout Plans, Step Tracker, Challenges",Weekly,No,Ad-free Experience,412,5,Other,Self,Manual Entry,6,Challenges,No,General Wellness
27,Male,Metro,50542,High School,Student,8108,7,Yoga,56,834,Yes,"Step Tracker, Workout Plans, Progress Tracking",Daily,Yes,"Social Competitions, 1:1 Coach",633,7,Guidance,Self,Smartphone,7,Challenges,Yes,General Wellness
30,Male,Urban,39963,Graduate,Professional,6987,1,None,14,565,Yes,"Workout Plans, Diet Tracking, Challenges, Step Tracker",Daily,No,"1:1 Coach, Advanced Analytics, Personalized Plans",378,3,Health Issues,Self,Smartwatch,5,Challenges,Yes,Weight Loss
15,Female,Metro,24802,High School,Retired,5515,0,Sports,43,566,No,None,Never,No,None,357,3,Lack of Time,Friends,Smartphone,6,None,No,Weight Loss
28,Male,Metro,78812,Graduate,Professional,3858,1,Cardio,53,400,Yes,"Diet Tracking, Step Tracker, Challenges, Social Community",Daily,No,Personalized Plans,312,6,Health Issues,Friends,Manual Entry,8,Challenges,Yes,Muscle Gain
32,Male,Semi-Urban,30260,Graduate,Professional,7421,7,Strength Training,12,536,Yes,"Step Tracker, Diet Tracking, Workout Plans, Progress Tracking",Daily,No,"1:1 Coach, Advanced Analytics, Personalized Plans",379,8,Guidance,Family,Smartphone,9,Challenges,No,Weight Loss
41,Male,Metro,69402,Graduate,Student,7947,1,Cardio,30,595,Yes,Step Tracker,Daily,No,"Custom Diet Plans, Personalized Plans",476,7,Lack of Time,Self,Smartwatch,4,Live Classes,Yes,Weight Loss
25,Female,Semi-Urban,58004,Graduate,Student,8738,3,Strength Training,45,867,Yes,"Step Tracker, Diet Tracking, Progress Tracking",Weekly,No,"Ad-free Experience, Advanced Analytics",347,7,Lack of Time,Self,Smartphone,7,Challenges,Yes,Muscle Gain
23,Male,Semi-Urban,92927,Graduate,Professional,11781,5,Sports,50,928,Yes,"Progress Tracking, Step Tracker",Daily,No,"Personalized Plans, Social Competitions",348,7,Motivation,Family,Smartwatch,7,Live Classes,Yes,Weight Loss
25,Male,Semi-Urban,56895,High School,Professional,1565,0,Strength Training,52,400,Yes,Workout Plans,Daily,No,Advanced Analytics,478,6,Lack of Time,Family,Fitness Band,7,Live Classes,Yes,General Wellness
37,Female,Rural,56121,Graduate,Professional,6830,4,Strength Training,20,616,Yes,Step Tracker,Weekly,No,"Ad-free Experience, 1:1 Coach, Custom Diet Plans",465,4,Motivation,Family,Smartphone,4,Live Classes,No,Weight Loss
32,Male,Metro,95409,Doctorate,Professional,9979,2,Yoga,24,736,Yes,"Social Community, Workout Plans, Progress Tracking, Step Tracker",Daily,Yes,"Advanced Analytics, Personalized Plans, Ad-free Experience",937,8,Lack of Time,Self,Smartphone,9,Community Posts,Yes,Muscle Gain
25,Female,Metro,78239,Postgraduate,Professional,6688,6,Mixed,25,631,Yes,"Diet Tracking, Progress Tracking, Workout Plans",Weekly,No,"Advanced Analytics, 1:1 Coach",139,6,Lack of Time,Family,Smartwatch,7,Video Workouts,No,General Wellness
34,Male,Urban,77503,Graduate,Professional,1154,2,Cardio,5,400,Yes,"Progress Tracking, Challenges",Daily,No,"Personalized Plans, 1:1 Coach",458,8,Lack of Time,Friends,Fitness Band,5,Articles,Yes,Muscle Gain
30,Female,Metro,83669,Graduate,Professional,3772,4,Strength Training,80,803,Yes,"Progress Tracking, Workout Plans, Challenges",Daily,No,"Personalized Plans, Social Competitions, Ad-free Experience",422,7,Other,Family,Smartphone,3,Community Posts,Yes,Muscle Gain
37,Male,Urban,30706,Postgraduate,Professional,7821,4,Cardio,31,703,No,None,Never,No,None,243,5,Lack of Time,Friends,Smartphone,4,None,No,Muscle Gain
24,Female,Urban,96605,High School,Professional,7730,1,Yoga,66,500,No,None,Never,No,None,380,2,Lack of Time,Self,Smartwatch,7,None,No,Athletic Training
27,Male,Urban,89880,Postgraduate,Professional,8681,0,Cardio,68,545,No,None,Never,No,None,476,3,Cost,Self,Smartphone,2,None,No,None
26,Male,Metro,39801,Postgraduate,Professional,5047,2,Yoga,111,508,No,None,Never,No,None,250,4,Health Issues,Family,Smartphone,4,None,No,General Wellness
18,Male,Metro,58568,High School,Professional,7649,2,Cardio,14,596,Yes,"Social Community, Challenges",Monthly,No,"Ad-free Experience, Custom Diet Plans, 1:1 Coach",403,7,Motivation,Self,Smartwatch,8,Video Workouts,Yes,General Wellness
32,Male,Metro,64883,Graduate,Homemaker,4635,5,Cardio,47,614,Yes,Challenges,Weekly,No,"Advanced Analytics, Social Competitions, 1:1 Coach",454,5,Health Issues,Friends,Smartphone,4,Community Posts,No,Weight Loss
32,Male,Metro,61867,Doctorate,Professional,7649,5,None,32,642,Yes,"Progress Tracking, Workout Plans, Challenges, Social Community",Daily,No,"Advanced Analytics, Social Competitions",221,5,Motivation,None,Smartphone,6,Live Classes,Yes,Athletic Training
30,Male,Semi-Urban,78192,Graduate,Student,7133,3,Cardio,35,593,Yes,"Progress Tracking, Step Tracker, Social Community, Challenges",Daily,No,"Ad-free Experience, Personalized Plans",332,7,Lack of Time,Friends,Smartphone,5,Live Classes,Yes,Rehabilitation
28,Female,Metro,135358,High School,Professional,4947,4,Strength Training,53,631,No,None,Never,No,None,386,2,Motivation,Family,Smartwatch,5,None,No,General Wellness
18,Male,Metro,113650,Graduate,Other,10895,4,Cardio,21,830,No,None,Never,No,None,254,5,Guidance,Influencers,Smartphone,5,None,No,General Wellness
26,Male,Metro,34333,Graduate,Professional,2735,5,Strength Training,28,500,Yes,"Progress Tracking, Step Tracker, Diet Tracking, Social Community",Monthly,No,"Ad-free Experience, Social Competitions",244,4,Motivation,Family,Fitness Band,7,Challenges,Yes,Muscle Gain
27,Female,Urban,90312,Postgraduate,Professional,6645,3,Strength Training,5,451,Yes,"Diet Tracking, Progress Tracking, Step Tracker",Daily,No,"Custom Diet Plans, Personalized Plans, Advanced Analytics",333,2,Cost,Family,Smartwatch,5,Live Classes,Yes,Weight Loss
23,Female,Urban,128600,Postgraduate,Student,4892,2,Strength Training,22,499,Yes,Social Community,Daily,No,"Personalized Plans, Social Competitions, 1:1 Coach",446,6,Lack of Time,Self,Smartphone,6,Community Posts,No,Athletic Training
28,Male,Metro,80290,Other,Professional,11585,2,Cardio,95,939,Yes,"Diet Tracking, Challenges, Step Tracker, Workout Plans",Weekly,Yes,"Custom Diet Plans, Personalized Plans, Advanced Analytics",796,10,Cost,Self,Smartwatch,7,Articles,No,General Wellness
33,Male,Metro,114175,Graduate,Student,8495,3,Strength Training,56,691,Yes,"Challenges, Diet Tracking",Daily,No,"1:1 Coach, Advanced Analytics, Personalized Plans",246,6,Motivation,Friends,Smartphone,5,Live Classes,Yes,General Wellness
45,Male,Metro,180978,Graduate,Professional,5376,3,Yoga,52,566,Yes,"Step Tracker, Workout Plans, Challenges, Diet Tracking",Weekly,No,"Custom Diet Plans, Social Competitions",428,7,Motivation,Self,Fitness Band,6,Video Workouts,Yes,General Wellness
31,Female,Metro,110398,Graduate,Retired,6300,3,Mixed,58,627,No,None,Never,No,None,249,4,Guidance,Influencers,Smartphone,4,None,No,Athletic Training
32,Female,Urban,74955,Graduate,Other,11653,1,Strength Training,34,765,Yes,Step Tracker,Weekly,Yes,Personalized Plans,458,7,Cost,Self,Fitness Band,8,Community Posts,No,General Wellness
29,Male,Urban,111585,Graduate,Professional,4634,4,Yoga,69,653,No,None,Never,No,None,305,2,Lack of Time,Self,Smartphone,3,None,No,Weight Loss
15,Female,Metro,71142,Doctorate,Professional,2588,1,Cardio,21,400,Yes,"Step Tracker, Diet Tracking, Progress Tracking, Challenges",Weekly,No,"Social Competitions, Custom Diet Plans, Personalized Plans",484,2,Health Issues,Self,Smartphone,7,Video Workouts,Yes,Muscle Gain
29,Female,Metro,66966,Postgraduate,Retired,7727,1,Cardio,31,731,No,None,Never,No,None,428,4,Cost,Family,Manual Entry,3,None,No,None
30,Female,Rural,55508,Graduate,Professional,7784,3,Cardio,30,702,Yes,"Workout Plans, Progress Tracking, Challenges",Weekly,No,Custom Diet Plans,349,8,Lack of Time,Family,Smartphone,4,Challenges,Yes,Muscle Gain
49,Female,Urban,144597,Graduate,Student,8665,1,Cardio,72,550,No,None,Never,No,None,299,4,Other,Friends,Smartwatch,4,None,No,Rehabilitation
28,Male,Urban,43949,Graduate,Professional,8681,3,Cardio,20,669,Yes,"Diet Tracking, Step Tracker",Daily,No,Advanced Analytics,303,6,Guidance,Friends,Smartphone,5,Challenges,Yes,General Wellness
32,Male,Metro,142369,Graduate,Professional,11426,2,Strength Training,28,743,No,None,Never,No,None,363,5,Motivation,Self,Smartphone,2,None,No,General Wellness
29,Male,Urban,84959,Postgraduate,Professional,2704,3,Yoga,24,400,Yes,"Diet Tracking, Step Tracker, Progress Tracking",Daily,No,"Advanced Analytics, 1:1 Coach",221,6,Lack of Time,Friends,Smartwatch,7,Articles,Yes,Weight Loss
20,Male,Metro,32871,Graduate,Professional,3992,3,None,92,674,Yes,"Progress Tracking, Step Tracker, Workout Plans, Diet Tracking",Daily,No,"1:1 Coach, Personalized Plans, Advanced Analytics",308,5,Guidance,Family,Smartphone,5,Community Posts,Yes,Weight Loss
39,Female,Urban,79524,Other,Professional,8655,1,Cardio,69,741,Yes,"Diet Tracking, Social Community",Weekly,No,"Ad-free Experience, Social Competitions, Custom Diet Plans",324,4,Lack of Time,Family,Smartwatch,7,Articles,Yes,General Wellness
36,Female,Rural,23155,Graduate,Professional,4235,1,Yoga,48,432,No,None,Never,No,None,187,6,Motivation,Family,Smartphone,5,None,No,Muscle Gain
